WATERSHED_FEATURE_ID,RB_Status,CT_Status,BT_Status,DV_Status
4859,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
4860,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.
4861,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4862,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4863,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
4864,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4865,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.
4866,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
4867,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
4868,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4869,Possible: 0.1_1 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Confirmed,Confirmed
4870,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Very likely: >10 km of suitable stream reaches.,Very likely: >10 km of suitable stream reaches.
4871,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Very likely: >10 km of suitable stream reaches.,Very likely: >10 km of suitable stream reaches.
4872,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.,Very likely: >10 km of suitable stream reaches.,Very likely: >10 km of suitable stream reaches.
4873,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.
4874,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.
4875,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4876,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
4877,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
4878,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4879,Confirmed,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed
4880,Possible: 0.1_1 km of suitable stream reaches.,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed
4881,Likely: 1_10 km of suitable stream reaches.,Confirmed,Very likely: >10 km of suitable stream reaches.,Confirmed
4882,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Confirmed,Confirmed
4883,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4884,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Confirmed
4885,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
4886,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
4887,Confirmed,Confirmed,Confirmed,Confirmed
4888,Likely: 1_10 km of suitable stream reaches.,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed
4889,Confirmed,Confirmed,Confirmed,Confirmed
4890,Possible: 0.1_1 km of suitable stream reaches.,Confirmed,Very likely: >10 km of suitable stream reaches.,Confirmed
4891,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.
4892,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4893,Confirmed,Confirmed,Very likely: >10 km of suitable stream reaches.,Confirmed
4894,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4895,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
4896,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4897,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4898,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4899,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4900,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.
4901,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4902,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4903,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed
4904,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4905,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
4906,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
4907,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Confirmed
4908,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
4909,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Confirmed
4910,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches
4983,Likely: 1_10 km of suitable stream reaches.,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed
4984,Likely: 1_10 km of suitable stream reaches.,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed
4985,Likely: 1_10 km of suitable stream reaches.,Confirmed,Possible: 0.1_1 km of suitable stream reaches.,Confirmed
4987,Likely: 1_10 km of suitable stream reaches.,Confirmed,Possible: 0.1_1 km of suitable stream reaches.,Confirmed
5000,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5362,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5363,Confirmed,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.
5364,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5365,Very likely: >10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5366,Very likely: >10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5367,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5368,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5369,Very likely: >10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.
5370,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5371,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5372,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5373,Very likely: >10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5374,Confirmed,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed
5375,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5376,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5377,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5378,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5379,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.
5380,Confirmed,Confirmed,Very likely: >10 km of suitable stream reaches.,Confirmed
5381,Confirmed,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed
5382,Likely: 1_10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.
5383,Likely: 1_10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5384,Confirmed,Confirmed,Confirmed,Confirmed
5385,Confirmed,Confirmed,Confirmed,Confirmed
5386,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5387,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.
5388,Confirmed,Possible: 0.1_1 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Confirmed
5389,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5390,Confirmed,Confirmed,Very likely: >10 km of suitable stream reaches.,Confirmed
5391,Likely: 1_10 km of suitable stream reaches.,Confirmed,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
5392,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Confirmed
5393,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5394,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5395,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Very likely: >10 km of suitable stream reaches.,Very likely: >10 km of suitable stream reaches.
5396,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
5397,Very likely: >10 km of suitable stream reaches.,Confirmed,Very likely: >10 km of suitable stream reaches.,Confirmed
5398,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5399,Likely: 1_10 km of suitable stream reaches.,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed
5400,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.
5401,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5402,Confirmed,Confirmed,Confirmed,Confirmed
5403,Confirmed,Confirmed,Confirmed,Confirmed
5404,Possible: 0.1_1 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed,Confirmed
5405,Possible: 0.1_1 km of suitable stream reaches.,Confirmed,Confirmed,Confirmed
5406,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.
5407,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
5408,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
5409,Possible: 0.1_1 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.
5410,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5411,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5412,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.
5413,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5414,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5415,Confirmed,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed
5416,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.
5417,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5418,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5419,Likely: 1_10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5420,Confirmed,Confirmed,Possible: 0.1_1 km of suitable stream reaches.,Confirmed
5421,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5422,Likely: 1_10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5423,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5424,Likely: 1_10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5425,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5426,Very likely: >10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5427,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5428,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5429,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5430,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5431,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5432,Very likely: >10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5433,Likely: 1_10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5434,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5435,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5436,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5437,Likely: 1_10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5438,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5439,Confirmed,Confirmed,Possible: 0.1_1 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
5440,Confirmed,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
5441,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5442,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5443,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
5444,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5445,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5446,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5447,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.
5448,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5449,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5450,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5451,Very likely: >10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5452,Likely: 1_10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5453,Confirmed,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5454,Very likely: >10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5455,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5456,Likely: 1_10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
5457,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
8085,Very likely: >10 km of suitable stream reaches.,Confirmed,Very likely: >10 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.
8086,Very likely: >10 km of suitable stream reaches.,Very likely: >10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
8087,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
8088,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
8089,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
8090,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
8091,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.
8092,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
8093,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
8094,Confirmed,Possible: 0.1_1 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.
8095,Confirmed,Confirmed,Confirmed,Confirmed
8096,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
8097,Confirmed,Confirmed,Confirmed,Confirmed
8098,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
8099,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
8100,Very likely: >10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Very likely: >10 km of suitable stream reaches.
8101,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.
8102,Likely: 1_10 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
8103,Very likely: >10 km of suitable stream reaches.,Very likely: >10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
8104,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Very likely: >10 km of suitable stream reaches.
8105,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
8106,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.
8107,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
8108,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.
8109,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
8110,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.,Confirmed
8111,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
8112,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed,Likely: 1_10 km of suitable stream reaches.
8113,Possible: 0.1_1 km of suitable stream reaches.,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.
8114,Confirmed,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.,Possible: 0.1_1 km of suitable stream reaches.
8115,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches,Possible: 0.1_1 km of suitable stream reaches.
8116,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed,Likely: 1_10 km of suitable stream reaches.
8117,Confirmed,Confirmed,Confirmed,Likely: 1_10 km of suitable stream reaches.
